date,team1,team2,winner,elo_diff,elo_diff_sq,team1_recent_winrate,team2_recent_winrate,head_to_head,venue_winrate_team1,t1_bat_score,t2_bat_score,t1_bowl_score,t2_bowl_score,bat_score_diff,bowl_score_diff,matchup_diff,toss_winner_is_team1,t1_season_match_num,t2_season_match_num,target
2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
2008-04-20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,-14.0,-0.0196,0.5,1.0,0.5,0.5,0.0,859.406,0.0,9.824,-859.406,-9.824,0.0,1,0,1,0
2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,14.0,0.0196,0.5,0.0,0.5,0.5,0.0,55.475,0.0,0.949,-55.475,-0.949,0.0,1,0,1,0
2008-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,0.0,0.0,0.0,0.0,0.5,0.5,690.644,193.725,1.554,0.448,496.919,1.106,0.0,1,1,1,0
2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,-27.436171782997235,-0.0753,0.0,1.0,0.5,0.5,118.096,641.966,5.877,8.377,-523.87,-2.5,0.0,1,1,1,0
2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,28.563828217002765,0.0816,1.0,0.0,0.5,0.5,730.546,395.081,1.589,2.167,335.465,-0.578,0.0,0,1,1,1
2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,-26.332916985896876,-0.0693,0.0,0.5,0.5,0.0,145.691,274.884,2.34,2.164,-129.193,0.176,0.0,0,2,2,0
2008-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,-0.5845718804760054,-0.0,0.0,0.0,0.5,0.0,314.467,347.324,1.427,2.104,-32.857,-0.677,0.0,0,2,2,1
2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,-0.5845718804760054,-0.0,1.0,1.0,0.5,1.0,571.415,358.7,2.156,8.104,212.715,-5.948,0.0,0,2,2,1
2008-04-26,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,12.377107737573851,0.0153,0.6667,0.5,0.5,0.5,378.687,217.732,2.421,1.542,160.955,0.879,0.0,1,3,2,1
2008-04-27,Deccan Chargers,Mumbai Indians,Deccan Chargers,2.165130620533546,0.0005,0.0,0.0,0.5,0.5,260.636,232.413,2.342,1.939,28.223,0.403,0.0,1,3,3,1
2008-04-27,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,40.8731897614166,0.1671,1.0,0.3333,0.5,0.5,778.63,292.585,5.323,2.502,486.045,2.821,0.0,1,2,3,0
2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,53.81279948401948,0.2896,1.0,0.3333,0.5,0.5,599.374,210.479,2.701,4.007,388.895,-1.306,0.0,1,3,3,1
2008-04-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,68.76435657577713,0.4729,0.6667,0.0,0.5,1.0,267.753,230.127,4.458,1.418,37.626,3.04,0.0,1,3,4,0
2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,36.04372581436519,0.1299,0.6667,0.25,0.5,1.0,385.587,193.448,3.709,1.519,192.139,2.19,0.0,0,3,4,1
2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,-27.024090488185266,-0.073,0.25,0.5,0.5,0.0,252.702,250.357,2.969,3.546,2.345,-0.577,0.0,0,4,4,0
2008-05-01,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,-29.765045765055675,-0.0886,0.5,0.75,0.5,0.5,213.091,363.803,3.821,2.35,-150.712,1.471,0.0,0,4,4,0
2008-05-02,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,28.913826633480312,0.0836,1.0,0.75,0.5,1.0,505.146,359.709,3.219,2.825,145.437,0.394,0.0,1,4,4,0
2008-05-03,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,-0.9351278727465342,-0.0001,0.2,0.2,0.5,0.5,242.833,165.183,2.135,1.436,77.65,0.699,0.0,1,5,5,0
2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,30.702416276755685,0.0943,0.6,0.4,0.5,0.6667,424.211,133.61,3.206,3.448,290.601,-0.242,0.0,1,5,5,1
2008-05-04,Delhi Daredevils,Mumbai Indians,Mumbai Indians,77.58899770940798,0.602,0.8,0.2,0.5,0.5,363.058,259.82,2.63,2.071,103.238,0.559,0.0,1,5,5,0
2008-05-04,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,-1.6844210931205907,-0.0003,0.8,0.8,0.5,0.5,459.142,372.444,2.073,2.853,86.698,-0.78,0.0,1,5,5,0
2008-05-05,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,50.71918990041604,0.2572,0.6667,0.3333,0.5,0.5,339.481,150.209,3.634,1.231,189.272,2.403,0.0,1,6,6,1
2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,75.86606059672067,0.5756,0.6667,0.1667,0.5,0.6667,211.78,222.624,1.671,1.779,-10.844,-0.108,0.0,0,6,6,0
2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,-74.71904747623671,-0.5583,0.3333,0.8333,0.5,0.5,222.277,308.555,2.561,3.82,-86.278,-1.259,0.0,1,6,6,1
2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,6.455328631996508,0.0042,0.3333,0.2857,1.0,0.5,148.106,107.757,3.297,1.117,40.349,2.18,11.574,1,6,7,1
2008-05-08,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,-15.276967119672008,-0.0233,0.5714,0.6667,0.0,0.5,280.626,262.013,2.357,2.824,18.613,-0.467,-4.404,1,7,6,1
2008-05-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,-71.4401242327117,-0.5104,0.2857,0.7143,0.0,0.5,251.05,203.613,2.61,3.598,47.437,-0.988,-11.542,0,7,7,0
2008-05-10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,-18.07771803433752,-0.0327,0.625,0.7143,1.0,0.5,285.911,291.22,2.309,3.554,-5.309,-1.245,85.556,0,8,7,1
2008-05-11,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,-31.236188540711964,-0.0976,0.25,0.4286,0.0,0.0,184.743,157.241,2.18,2.895,27.502,-0.715,18.667,0,8,7,0
2008-05-11,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,-40.09221312966133,-0.1607,0.5714,0.75,1.0,0.5,291.965,230.25,3.103,3.12,61.715,-0.017,78.523,0,7,8,0
2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,73.67261795213199,0.5428,0.625,0.25,1.0,0.75,247.188,142.439,3.394,1.364,104.749,2.03,8.25,0,8,8,1
2008-05-13,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-2.7021974192441576,-0.0007,0.5,0.5,0.5,0.5,278.585,206.591,3.4,3.041,71.994,0.359,0.0,0,8,8,0
2008-05-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,40.53874532624832,0.1643,0.6667,0.4286,1.0,0.5,263.678,219.211,2.97,3.499,44.467,-0.529,23.096,0,9,7,0
2008-05-15,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,-40.13229585818704,-0.1611,0.2222,0.4444,0.0,0.5,230.817,268.866,2.148,3.549,-38.049,-1.401,-13.855,1,9,9,0
2008-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0.4330988189926756,0.0,0.5556,0.5,0.0,0.5,192.041,254.403,6.644,2.653,-62.362,3.991,-5.012,0,9,8,0
2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,119.92814404057413,1.4383,0.7778,0.2222,1.0,1.0,243.52,161.91,3.367,1.201,81.61,2.166,36.477,0,9,9,1
2008-05-17,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,-42.27110952968678,-0.1787,0.5,0.6667,0.0,0.75,271.458,300.453,3.939,3.179,-28.995,0.76,-24.932,1,10,9,0
2008-05-18,Deccan Chargers,Mumbai Indians,Mumbai Indians,-96.59109290961146,-0.933,0.2,0.5556,1.0,0.0,221.843,221.417,2.393,3.412,0.426,-1.019,106.875,1,10,9,0
2008-05-18,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,22.8708071768433,0.0523,0.6,0.5,1.0,0.5,264.576,162.922,2.694,4.152,101.654,-1.458,14.168,0,10,10,1
2008-05-19,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,50.59725460077311,0.256,0.4,0.2,1.0,0.5,247.025,116.667,3.039,1.725,130.358,1.314,5.154,1,11,10,1
2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,-84.72998215234338,-0.7179,0.4,0.8,0.0,0.6,180.086,253.582,3.209,3.159,-73.496,0.05,-8.15,0,11,10,0
2008-05-21,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,12.692262078533531,0.0161,0.7,0.6,1.0,0.5,266.443,286.645,3.101,2.067,-20.202,1.034,172.5,0,10,10,1
2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,114.90526523068138,1.3203,0.6,0.2,1.0,0.6,268.668,212.216,2.736,1.38,56.452,1.356,64.15,0,11,11,0
2008-05-23,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,-143.18236121153132,-2.0501,0.2,0.8,0.0,0.5,214.086,359.832,1.959,3.955,-145.746,-1.996,-7.645,0,11,11,0
2008-05-24,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,-28.72465540541089,-0.0825,0.4,0.6,0.0,0.6,269.958,252.648,7.016,2.69,17.31,4.326,-26.619,1,12,11,1
2008-05-24,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,-64.81998040153053,-0.4202,0.5,0.9,0.0,0.5,204.007,219.432,2.556,3.0,-15.425,-0.444,21.198,0,12,11,0
2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,-27.244375863421965,-0.0742,0.2,0.2,0.0,0.0,231.591,116.351,1.927,0.822,115.24,1.105,0.0,1,12,12,0
2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,96.25590488763191,0.9265,0.9,0.3,1.0,0.5,301.674,191.082,3.442,3.192,110.592,0.25,15.749,1,12,12,0
2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,-84.55680157940878,-0.715,0.6,0.9,1.0,0.5,217.333,266.52,2.874,2.784,-49.187,0.09,-9.307,0,12,12,0
2008-05-27,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,106.69932373695542,1.1385,0.4,0.2,0.0,0.5,195.105,170.078,2.686,2.227,25.027,0.459,22.847,0,13,13,1
2008-05-28,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,-49.63667828174107,-0.2464,0.8,0.9,0.0,0.8333,339.604,169.399,3.055,2.228,170.205,0.827,24.395,0,13,13,1
2008-05-28,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,46.08670059681936,0.2124,0.6,0.3,0.0,0.5,199.716,163.146,2.861,2.152,36.57,0.709,-49.737,1,13,13,1
2008-05-30,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,-77.6436374851919,-0.6029,0.5,0.8,0.5,0.5,254.868,253.225,7.166,3.259,1.643,3.907,50.326,1,13,14,0
2008-05-31,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,-54.833528585369095,-0.3007,0.4,0.8,1.0,0.0,203.713,313.32,2.55,3.17,-109.607,-0.62,11.499,0,14,14,1
2008-06-01,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,-67.22798768416874,-0.452,0.5,0.8,0.0,0.5,206.887,290.37,2.594,3.358,-83.483,-0.764,-30.34,0,15,15,0
2009-04-18,Chennai Super Kings,Mumbai Indians,Mumbai Indians,7.072420083901989,0.005,0.5,0.7,0.5,0.5,316.903,259.313,2.465,3.024,57.59,-0.559,3.725,1,0,0,0
2009-04-18,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,119.26201928539535,1.4223,0.8,0.3,1.0,0.5,274.964,210.63,3.112,2.319,64.334,0.793,-75.095,0,0,0,0
2009-04-19,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,-38.297865440429405,-0.1467,0.4,0.7,0.0,0.5,254.839,226.916,7.625,2.452,27.923,5.173,-71.184,1,0,0,1
2009-04-19,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,-73.16164238869305,-0.5353,0.1,0.4,0.0,0.5,270.395,220.227,2.623,2.854,50.168,-0.231,0.93,0,0,0,1
2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,23.43797148665317,0.0549,0.5,0.4,0.5,0.5,269.761,224.346,2.732,2.52,45.415,0.212,-19.61,1,1,1,1
2009-04-21,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,43.70873901180016,0.191,0.6,0.4,0.5,0.5,235.698,181.171,1.635,1.821,54.527,-0.186,31.75,0,1,1,0
2009-04-22,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,-24.17437608802561,-0.0584,0.2,0.3,0.0,1.0,268.783,132.635,2.579,4.363,136.148,-1.784,-10.802,1,1,2,1
2009-04-23,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,-2.1096876617295948,-0.0004,0.5,0.4,0.5,0.5,279.838,252.377,3.218,6.473,27.461,-3.255,11.469,0,2,1,0
2009-04-24,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,58.106026756195206,0.3376,0.5,0.3,1.0,0.0,233.207,175.109,1.574,2.475,58.098,-0.901,18.925,0,2,3,1
