date,team1,team2,venue,city,toss_winner,toss_decision,winner
2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
2008-04-19,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,Chennai Super Kings
2008-04-19,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Daredevils
2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders
2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bangalore
2008-04-21,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,Rajasthan Royals
2008-04-22,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Delhi Daredevils
2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Chennai Super Kings
2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Rajasthan Royals
2008-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Kings XI Punjab
2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,Chennai Super Kings
2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals
2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers
2008-04-27,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,Kings XI Punjab
2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Chennai Super Kings
2008-04-29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians
2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Delhi Daredevils
2008-05-01,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Kings XI Punjab
2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals
2008-05-02,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Delhi Daredevils
2008-05-03,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,Deccan Chargers,field,Royal Challengers Bangalore
2008-05-03,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Kings XI Punjab
2008-05-04,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai,Delhi Daredevils,field,Mumbai Indians
2008-05-04,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Rajasthan Royals
2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Kings XI Punjab
2008-05-06,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,field,Deccan Chargers
2008-05-07,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Mumbai Indians
2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2008-05-08,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,Chennai Super Kings
2008-05-09,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2008-05-10,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,Kings XI Punjab,field,Chennai Super Kings
2008-05-11,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders
2008-05-11,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,bat,Kings XI Punjab
