date,team1,team2,winner,t1_bat_total_runs,t1_bat_wickets_lost,t1_bat_pp_rr,t1_bat_death_rr,t1_bat_boundaries,t1_bat_dot_pct,t1_bowl_runs_conceded,t1_bowl_wickets_taken,t1_bowl_pp_wkts,t1_bowl_death_econ,t1_bowl_dot_pct,t2_bat_total_runs,t2_bat_wickets_lost,t2_bat_pp_rr,t2_bat_death_rr,t2_bat_boundaries,t2_bat_dot_pct,t2_bowl_runs_conceded,t2_bowl_wickets_taken,t2_bowl_pp_wkts,t2_bowl_death_econ,t2_bowl_dot_pct
2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,222,3,10.167,13.6,29,0.3,82,10,4,6.0,0.549,82,10,4.333,6.0,6,0.549,222,3,1,13.6,0.3
2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,240,5,8.833,15.8,36,0.283,207,4,1,8.4,0.192,207,4,10.5,8.4,27,0.192,240,5,1,15.8,0.283
2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,132,1,9.167,24.0,19,0.341,129,8,2,6.6,0.45,129,8,6.667,6.6,17,0.45,132,1,1,24.0,0.341
2008-04-20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,110,10,6.5,9.0,12,0.554,112,5,3,7.75,0.535,112,5,4.333,7.75,9,0.535,110,10,2,9.0,0.554
2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,165,7,7.833,12.0,23,0.375,166,5,1,10.286,0.305,166,5,6.667,10.286,21,0.305,165,7,3,12.0,0.375
2008-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,166,8,9.0,10.2,25,0.454,168,4,3,8.211,0.431,168,4,8.833,8.211,24,0.431,166,8,1,10.2,0.454
2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,142,8,4.167,13.8,18,0.467,143,1,1,0.0,0.333,143,1,8.0,0.0,21,0.333,142,8,2,13.8,0.467
2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,208,5,8.833,13.0,30,0.308,202,7,2,13.6,0.317,202,7,8.667,13.6,27,0.317,208,5,2,13.0,0.308
2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,214,5,9.667,13.2,33,0.308,217,7,1,12.0,0.286,217,7,12.167,12.0,32,0.286,214,5,2,13.2,0.308
2008-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,182,10,10.0,8.8,23,0.333,116,9,2,3.0,0.575,116,9,6.5,3.0,16,0.575,182,10,1,8.8,0.333
2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,152,1,7.5,15.5,17,0.333,147,9,3,8.6,0.408,147,9,10.167,8.6,18,0.408,152,1,0,15.5,0.333
2008-04-26,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,138,3,7.5,7.846,24,0.427,135,8,2,8.0,0.533,135,8,9.5,8.0,19,0.533,138,3,2,7.846,0.427
2008-04-27,Deccan Chargers,Mumbai Indians,Deccan Chargers,155,0,10.0,0.0,24,0.288,154,7,3,11.0,0.408,154,7,4.5,11.0,19,0.408,155,0,0,0.0,0.288
2008-04-27,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,158,8,7.5,10.2,20,0.325,162,6,2,8.667,0.393,162,6,9.167,8.667,22,0.393,158,8,3,10.2,0.325
2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,178,5,6.0,15.2,25,0.358,165,10,1,7.071,0.297,165,10,7.5,7.071,19,0.297,178,5,1,15.2,0.358
2008-04-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,137,8,6.667,10.0,18,0.442,138,3,3,7.636,0.464,138,3,6.333,7.636,19,0.464,137,8,3,10.0,0.442
2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,191,5,9.667,8.0,26,0.258,181,5,3,9.4,0.267,181,5,9.167,9.4,23,0.267,191,5,1,8.0,0.258
2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,164,8,8.333,10.6,22,0.333,167,3,1,9.913,0.283,167,3,6.833,9.913,23,0.283,164,8,1,10.6,0.333
2008-05-01,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,151,10,8.5,5.52,14,0.313,196,7,1,10.8,0.308,196,7,7.5,10.8,27,0.308,151,10,3,5.52,0.313
2008-05-02,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,169,6,7.833,8.6,22,0.367,172,2,0,7.5,0.316,172,2,10.667,7.5,21,0.316,169,6,1,8.6,0.367
2008-05-03,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,153,6,5.5,8.2,20,0.333,156,8,1,8.4,0.283,156,8,7.667,8.4,19,0.283,153,6,2,8.2,0.333
2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,178,6,8.167,11.8,26,0.35,169,6,4,13.6,0.383,169,6,5.167,13.6,18,0.383,178,6,1,11.8,0.35
2008-05-04,Delhi Daredevils,Mumbai Indians,Mumbai Indians,133,10,6.167,4.957,14,0.381,162,8,2,10.0,0.417,162,8,8.333,10.0,22,0.417,133,10,2,4.957,0.381
2008-05-04,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,109,10,6.333,4.5,13,0.535,110,2,0,0.0,0.453,110,2,7.333,0.0,12,0.453,109,10,4,4.5,0.535
2008-05-05,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,127,4,8.667,5.4,15,0.464,126,10,3,6.692,0.5,126,10,4.333,6.692,17,0.5,127,4,1,5.4,0.464
2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,144,7,5.667,11.6,17,0.442,148,3,1,11.0,0.463,148,3,8.333,11.0,22,0.463,144,7,3,11.6,0.442
2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,104,3,5.667,12.0,10,0.484,103,10,2,0.75,0.439,103,10,8.0,0.75,11,0.439,104,3,0,12.0,0.484
2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,129,7,6.833,14.0,17,0.417,124,4,2,13.0,0.375,124,4,5.833,13.0,17,0.375,129,7,2,14.0,0.417
2008-05-08,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,188,6,10.333,9.2,25,0.275,187,5,2,10.8,0.217,187,5,8.333,10.8,25,0.217,188,6,0,9.2,0.275
2008-05-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,140,8,8.333,7.4,18,0.392,141,2,0,12.0,0.344,141,2,8.333,12.0,18,0.344,140,8,0,7.4,0.392
2008-05-10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,181,4,8.833,7.4,21,0.333,163,9,2,9.6,0.383,163,9,5.833,9.6,18,0.383,181,4,2,7.4,0.333
2008-05-11,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,181,7,9.167,11.2,24,0.4,204,4,1,17.2,0.35,204,4,7.167,17.2,31,0.35,181,7,3,11.2,0.4
2008-05-11,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,156,7,7.833,12.0,15,0.342,159,7,2,9.36,0.412,159,7,3.5,9.36,19,0.412,156,7,1,12.0,0.342
2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,144,1,7.0,4.5,19,0.34,143,8,3,8.2,0.35,143,8,8.333,8.2,15,0.35,144,1,0,4.5,0.34
2008-05-13,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,110,10,6.167,4.588,13,0.43,133,6,1,7.6,0.358,133,6,5.833,7.6,13,0.358,110,10,4,4.588,0.43
2008-05-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,156,6,4.667,13.4,24,0.467,158,1,0,0.0,0.446,158,1,13.0,0.0,24,0.446,156,6,2,13.4,0.467
2008-05-15,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,182,9,11.833,10.8,24,0.325,194,4,1,11.2,0.258,194,4,8.0,11.2,24,0.258,182,9,1,10.8,0.325
2008-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,67,10,4.5,0.0,8,0.641,68,2,2,0.0,0.424,68,2,12.364,0.0,11,0.424,67,10,3,0.0,0.641
2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,197,1,8.5,10.8,24,0.283,132,9,3,9.8,0.492,132,9,3.833,9.8,16,0.492,197,1,0,10.8,0.283
2008-05-17,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,118,4,11.333,0.0,16,0.364,94,3,3,0.0,0.229,94,3,12.167,0.0,12,0.229,118,4,0,0.0,0.364
2008-05-18,Deccan Chargers,Mumbai Indians,Mumbai Indians,153,7,5.333,9.4,19,0.392,178,7,1,12.8,0.358,178,7,9.5,12.8,23,0.358,153,7,3,9.4,0.392
2008-05-18,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,55,0,7.167,0.0,8,0.438,149,5,2,9.6,0.375,149,5,5.833,9.6,18,0.375,55,0,0,0.0,0.438
2008-05-19,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,158,5,11.833,9.3,22,0.336,154,7,1,10.4,0.442,154,7,6.833,10.4,20,0.442,158,5,0,9.3,0.336
2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,147,8,5.333,9.0,19,0.425,150,4,3,14.667,0.384,150,4,7.0,14.667,22,0.384,147,8,1,9.0,0.425
2008-05-21,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,189,4,7.167,11.0,26,0.35,188,10,1,8.8,0.342,188,10,11.333,8.8,23,0.342,189,4,1,11.0,0.35
2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,112,8,7.333,4.0,12,0.558,126,8,2,10.0,0.425,126,8,3.833,10.0,15,0.425,112,8,0,4.0,0.558
2008-05-23,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,175,4,7.0,12.8,23,0.367,178,4,0,9.556,0.274,178,4,12.333,9.556,21,0.274,175,4,0,12.8,0.367
2008-05-24,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,179,5,9.333,10.138,26,0.328,176,8,0,10.6,0.375,176,8,10.0,10.6,25,0.375,179,5,2,10.138,0.328
2008-05-24,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,201,7,10.833,8.8,28,0.292,211,5,0,8.8,0.25,211,5,11.167,8.8,29,0.25,201,7,1,8.8,0.292
2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,165,10,6.833,8.4,22,0.425,171,5,1,16.25,0.333,171,5,7.167,16.25,26,0.333,165,10,0,8.4,0.425
2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,174,6,7.833,8.2,22,0.35,175,7,2,15.214,0.424,175,7,8.5,15.214,26,0.424,174,6,1,8.2,0.35
2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,145,7,4.833,9.6,15,0.383,146,5,2,11.2,0.35,146,5,6.0,11.2,13,0.35,145,7,0,9.6,0.383
2008-05-27,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,148,3,7.333,7.846,19,0.397,147,8,2,10.8,0.358,147,8,4.333,10.8,16,0.358,148,3,1,7.846,0.397
2008-05-28,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,221,3,8.5,15.4,34,0.342,180,7,2,8.0,0.358,180,7,6.333,8.0,26,0.358,221,3,0,15.4,0.342
2008-05-28,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,126,1,6.5,9.0,16,0.448,122,9,2,10.0,0.454,122,9,6.0,10.0,13,0.454,126,1,0,9.0,0.448
